Topic,University Service,Main Issues,Resolution,More Information,Attachments / Images,Related KBs,Keywords,Escalation
"""G: Drive"" is missing",Service Desk (Stern),,G Drive is the Google Drive desktop app. Stern imaged PCs should have this installed already. They just need to log back in.,https://support.google.com/drive/answer/10838124?hl=en&ref_topic=11413606,,,"Error,Google Drive",
12Twenty access / Career Account,Stern Webspace,"12Twenty is the portal used by Career Center of Working Professionals.
","Stern IT does not manage this site, please reach out to CCWP for further help.
Please provide information after they have activated their Stern account","This occurs tends to be when their account is not created with CCWP.

Phone: (212) 998-0235
E-mail: ccwp@stern.nyu.edu

https://www.stern.nyu.edu/portal-partners/career-center-working-professionals/about-us/contact-us",12Twenty.PNG (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/KypA8AlcJOpCbbkEIg8E7w/jfIuVDgGU_NmJjaYLPooMBzdXkvj7mgIQ8vS5ybiwQ626XfWA0At1HLQCslHpyh0xllgUNf4TTs9uEnDWRiNbpJ422PKp7V4dUAt0Zx7snWpjXhJiw-TNycLT1oFxbC0Vt15ctQSKg4xhKXJKSgTn5mAkDYS1Z09s8ObDB9XUns/5mvTqKKNY06ZNTk3QS2YLfC0k-WdtsDgRd_zS_M4OFU),,"Error,Alumni",AppDev
Access to Adobe Creative Cloud / Adobe Acrobat,Service Desk (Stern),Client is unable to access their Adobe Creative Cloud or Adobe Acrobat. They are getting an error asking them to subscribe or that their trial period is ending.,"1) Make sure they are logged into their NYU account
2) Ask them to log out from all Adobe Applications
3) When logging back in, for 'Email Address', they should put in 'nyu.edu'. This will prompt for their NYU credentials to sign in.","Adobe Access is only available for Faculty and Admins. Ph.D students are still consider Students. If they need access, we can install a shared license for them.
Students have access using the Computer Labs on NYU. (https://www.nyu.edu/life/information-technology/teaching-and-learning-services/studios-and-computing-labs/student-technology-centers-computer-labs.html)",Adobe not Included.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/2jeQSEzUlVWAF-sEkjV4cg/eBpIVjPKGWQssxY_7ka6Uk_dq9rkqTigazz5OBr66vfnxfsmLSX6R753_hf3LyXYNlO0hGynyapqGo5tlFX2m3zCzIo5rNFhSjdC0IJYXzcLG4W_95dCbI5mDrqAHwwFxapNW06Aowpfa90olpsB8ENFRxgzLouozeHDhWa1QVs/w3ciG4PDeeRmEzwG-QAvBZSmyVl4IDFlcH1T4bgpASo),Expiring/Expired Adobe Creative Cloud License,"Adobe Access,Adobe Acrobat,Subscription,Free Trial,Request,Access",
Access to AP Workflow,Service Desk (Stern),,"Client should reach out to Patricia Kong:
https://www.stern.nyu.edu/portal-partners/budget/faculty/ap-workflow 
For at-home access, connect to the VPN",We do not manage access or have a timeline as it is with NYU,,,Access,
Access to CampusGroups,CampusGroups,MBA students have access to CampusGroups which is like an external social portal primarily for clubs.,"1) If a student is not able to join a certain group, double check their role / program / year.
2) Student should be able to reach out to the owners of the group to be manually added.
3) For early access, this is best judgement, as accounts will be given access when their semester starts","For all other issues, provide CampusGroup support:
https://www.campusgroups.com/product/contact-us/ ",,,"Access,CampusGroups,MBA",
Access to Capital IQ,Capital IQ Website Support,Client is not able to access Capital IQ or they are requesting access,"1) They should be using the NYU Libraries' link: https://persistent.library.nyu.edu/arch/NYU05163
This will prompt for their NYU credentials
2) If they are still having issues, ask to clear their cache and cookies.","Capital IQ is NOT available for Alumni. If the client is still having issues, please contact 'jira.edatabases@nyu.edu'
Capital IQ Excel Plug-in is a common question: https://library.answers.nyu.edu/faq/392635
",,,"Capital IQ,Access",
Access to i-Buy System,Service Desk (Stern),,"Provide the following form: https://nyu.service-now.com/servicelink/catalog.do?sysparm_document_key=sc_cat_item,5656d1041354ae00381b50128144b0c6 ",Provide information for FinanceLink,,,Request,
Access to the Career Center,SternLife,"This is the portal for all things career related or everything from the CCWP (Career Center of Working Professionals).
","Double check on HATS to see if the client is an Alumni, should have a tag/role.
Otherwise route over to AppDev to double check the client's role/status",This can only be accessed when the student is considered an alumni.,,,"Access,Error,Alumni",AppDev
Access to the NYU VPN (Cisco Secure Client),Service Desk (Stern),"Current faculty, staff, degree students, and affiliates with active NYU NetIDs are eligible to use. However, Alumni do not get access to the NYU VPN.","Every NYU member should have access to the NYU VPN. They just need to make sure they are logged in with their NYU credentials
https://www.nyu.edu/life/information-technology/infrastructure/network-services/vpn.html","Mac: https://www.nyu.edu/servicelink/KB0011175
Windows: https://www.nyu.edu/servicelink/KB0011177
Mac VPN issue: https://docs.google.com/document/d/1zHDxbQ6jHSp2kG1q2UkUOd4hJsaAagmzFDHpVMHIS2M/edit
If they do not have access, route to NYU IT",,,"Access,How-To",
Access to the P Drive / Network Drives,Network/Storage,"Staff/Admins/Faculty can request access to the network drives, most commonly asked about is the P Drive or the Academic Drive (Q Drive)
","If the client is a new hire, please CC the supervisor to ensure permission otherwise, get the full pathway and forward it to ISS

Alternative pathway to try is: ""olah.nyc.stern.priv"" (This is the original that myfiles refers to)
Everything after the backslashes remain the same
 ","Mapping network drives in Windows: https://www.nyu.edu/servicelink/KB0010828 
Mapping network drives in Mac OS X: https://www.nyu.edu/servicelink/KB0010837 
Most common error is they do not select use different credentials",,"Network/Storage: Mapping network drives in Windows,Network/Storage: Mapping network drives in Mac OS X","Request,Network,P Drive,Academic Drives,Access",ISS
